repo,path,size_bytes,classification,sha256,notes
repo_a,.env.example,3448,code,50d9b661e93c73302e0812e45fdf2219206154494a87c1196268dbb15ad1f21c,
repo_a,.gitattributes,185,code,7a7d1c03c0a63b5d1f644aa3717fdd3a25f8eeb5cf8e0446f5183625366115fa,
repo_a,.gitignore,1858,code,84d0bd6654b8dd15ce0fb19cc68a39073c3f4b852d6cb471ae641326d95636b8,
repo_a,BUILDER_1_BUILDER_2_INTEGRATION_CONTRACT.md,9988,documentation,7a6bb6054f80c068a60b8973e135022ea68abce9757d865c8bd7d15e0fc55ad1,
repo_a,BUILDER_2_HANDOFF.md,6869,documentation,1d7e7309d23350b0cda12b91cadacbc6d9c3dcf735e895034d158cfc2759b459,
repo_a,DAY_1_BUILDER_1_DEVELOPMENT_OVERVIEW.md,26629,documentation,6698427767063b10dc10aba00f20edcdc71bfa72f35d0e276d28d3decbce8f15,
repo_a,DAY_2_BUILDER_1_DEVELOPMENT_OVERVIEW.md,8980,documentation,babe922b27b8c34d5d416f24a7e9227ba6412b2f1e17327e6a1678784240ff58,
repo_a,DAY_3_REAL_DATA_FOUNDATION.md,10093,documentation,3e5f52999333edca0c06a654397eb15de7b719c36fc74944574cb489ff19657a,
repo_a,DAY_4_HISTORICAL_VERIFICATION_AND_LABELS.md,9843,documentation,235e77c42a4776beb9bbaacec09c09d16cd166870565b36ac24aa88bbbb801f2,
repo_a,DAY_5_FEATURE_ENGINEERING_AND_BASELINE_ML.md,10689,documentation,9e34b2b07f5195c8ff1bf387733605bba135ad107e30ca3fa91bf10d6d274d6a,
repo_a,DAY_6_LIVE_MODEL_SERVING_AND_PREDICTION.md,8099,documentation,09a3ff05a8944b279d5efbe245aef0902ebf2b50c3251d461de104b963bac1c7,
repo_a,DEVELOPER_COMMANDS.md,2378,documentation,8df12b823f1ffff20e379d0446d86530769f01b898c81bae0f08d1f81395b656,
repo_a,LICENSE,1095,code,df8a907ebf1900929983cef179382e12fdd6b1a7293c3928adaadc0cb2f70bfa,
repo_a,README.md,9980,documentation,b50d52704ec1745bf3f10ae7215a6c7ebc0eec22a7e7e34163d80824b8faaf48,
repo_a,pyproject.toml,627,code,4c7d10c5e97c608c24ceb751640e98e776d6a6c17d01bfbf35712a59e325dc64,
repo_a,pytest.ini,53,test,577ef0b0cd50783067d13214381dd6315295cad5b0885dc05b1229f096a4d17c,
repo_a,requirements.txt,214,documentation,a0681cd70480964adf0693fcad192d70af8e7b5c632f4b640b2191bc1255f96f,
repo_a,vercel.json,272,code,259e971551ccb952e6144fff714b067174afa6245b8222b0ffb0136b1366f697,
repo_a,Audits/VEYRA_BUILDER2_ADVANCED_FEATURE_AUDIT.md,50056,documentation,b818b10117a0ca0d58220d1c67add5f995e57bb3983f3da20aaf73dd956c9d37,
repo_a,Audits/VEYRA_COMPLETE_PROJECT_AUDIT.md,61781,documentation,afee4ef5f9b494f83345aee7eb88349cf9362f0cbc65b8c2ce49d9aaab889bf9,
repo_a,Audits/VEYRA_CURRENT_PROBLEM_REVERIFICATION.md,32203,documentation,2bfc28e85607fa4fed0ce3468868e328b04d705b9b7bae0656bb70246379af7b,
repo_a,Audits/VEYRA_DAY21_V3_ARTIFACT_REVERIFICATION.md,13755,documentation,34e7388e7c58fd0d524477fe979cc7fc20b9b6dce5040f3a837a43221e7d2e75,
repo_a,Audits/VEYRA_Day_1_to_Day_25_Master_Overview.md,17573,documentation,77d33ad8a3413cf60a7a12c0278dd9624013cac759249b8960bb80f0802fb93a,
repo_a,Audits/VEYRA_Internal_Judging_Technical_Preparation.md,15810,documentation,0bc1ca7edaac9e801993b08f01a61982ea7d00857dea25fb7131de7fe01baee9,
repo_a,Audits/VEYRA_MODEL_ARTIFACT_RECOVERY_AUDIT.md,18733,documentation,29fe99867ca8f4a84de49a7ce149b950ba104ca2f6a8e15e1c2ab4e600d375d1,
repo_a,Audits/VEYRA_V3_COMPATIBILITY_AND_INTEGRATION_DESIGN.md,16753,documentation,703948a10d1383150cee6e53c052d1996d5c49895488b547c7188fef36e1b0ae,
repo_a,Audits/VEYRA_V3_RETRAINING_READINESS_AUDIT.md,34184,documentation,68e88e0a0c5d55341872e6aa8b2dc5e2073d8c942fe2a825b0754b6f11868c12,
repo_a,Audits/VEYRA_V4_DATASET_RECOVERY_AUDIT.md,16516,documentation,af11a8d8baeeda0f111d17eb6ba8243dd3663baf776b0794cfb890405043a736,
repo_a,Audits/VEYRA_V4_EXTERNAL_DATASET_RECOVERY.md,10184,documentation,4c7c5f85a84044e55366ef6b7ab8e9191f22b7c0971d1c5288cc2af19f15428b,
repo_a,Audits/VEYRA_V4_SCIENTIFIC_FOUNDATION.md,37165,documentation,82d4bbb6d7ff2193088603c3d4343dedf4b7a47acea370287447438dbb399900,
repo_a,backend/app/__init__.py,66,code,f127dafea6aa5ee73e604fe31306a52cc2a7d2a05896f9c7bab56ab64aba5d17,
repo_a,backend/app/main.py,5969,code,4c7b649ec8933e41aabf2cce6a779a75a1bd2a8fb81320ae499723a979059fd0,
repo_a,backend/app/adapters/__init__.py,903,code,39827bf13d097335bd46873d72fc18826377abbee400418f0b74754b9ceda218,
repo_a,backend/app/adapters/fixture_second_provider_adapter.py,11665,code,f06ce0f3e097c7ef5b6c33ca1057f19a9ad497ba02576968d1d1bf33558d8fda,
repo_a,backend/app/adapters/openmeteo_adapter.py,4865,code,1b9ab4fcbe908255af44b24f3eb37b1918cad274a7f0dd78add5c5249db73c42,
repo_a,backend/app/adapters/provider_adapter.py,4923,code,e8e1ffb947ab69434259ca947fa97acfe15a932055ccc6d36bd8fba7033e4793,
repo_a,backend/app/adapters/provider_registry.py,3445,code,50b82565e8fba42d3804dc459c58da25eea2fed5bbdf7ba6336c921e0c2b8744,
repo_a,backend/app/agents/__init__.py,128,code,73015c2724cb23e9794b722934ab822586adfdf27c722422c78607f57377da73,
repo_a,backend/app/agents/forecast_bust_agent.py,22431,code,a70685a8a64e2380006456b028e3c857af8371450675e4d103e19300907fa966,
repo_a,backend/app/api/__init__.py,20,code,5b96d03591b3d982cc5f1d610bd7bf78a85b7ff18d155632dcc0b70fb82e8147,
repo_a,backend/app/api/v1/__init__.py,23,code,d95242051fa9e62524e4f8a762905d0833f81d71c1ef8e37b1d9e46aa39a6c57,
repo_a,backend/app/api/v1/router.py,1621,code,d1b08954265700bf9279fe8f395167314f5df170908a3db50eff0a0cc34ced9e,
repo_a,backend/app/api/v1/endpoints/__init__.py,33,code,bcce303afd73944ed542c336a3efb890215b481c4408018a5c1df368b203c4a6,
repo_a,backend/app/api/v1/endpoints/certification.py,2680,code,5167154e0973923bce4099e4fb9499f21abc8916c6d82b488220584d7789afda,
repo_a,backend/app/api/v1/endpoints/dashboard.py,1943,code,d0730fbc53c711f878cf989a01f977683ce3d73072af279678bea303c03a697e,
repo_a,backend/app/api/v1/endpoints/disagreement.py,1161,code,3f2c90f285f15e624e76de512cb1f6ec77e87711a58eb956e28724d2cd8b9a99,
repo_a,backend/app/api/v1/endpoints/evaluation.py,2587,code,e117bb0b80a177cb965b316cc0fce4e2836b9cc30ad829041afa8899eddc14d6,
repo_a,backend/app/api/v1/endpoints/health.py,611,code,3ac822944d51ef0810084b6b5a3500cc6ab19bbc0527af53d62be4e429321c49,
repo_a,backend/app/api/v1/endpoints/metrics.py,753,code,18aec0ebd87cbf60e2328c5bc253ce083a8e7fb32a82442b8be0262f7c85c5af,
repo_a,backend/app/api/v1/endpoints/multi_location.py,2139,code,fcd3f4b9cf4bc038bb08c0182b8383d1aa1a259ebce052f73d4f09b73949dbef,
repo_a,backend/app/api/v1/endpoints/ood.py,964,code,bb60d1f7fa9cbbe64f2d3f554cf7943f0a5bee9fde4d9400211ad7891224adc2,
repo_a,backend/app/api/v1/endpoints/predict.py,4094,code,7daa6550fb4cf196e524f341809883c4a28cba591482549dbeeb06f19bc6342f,
repo_a,backend/app/api/v1/endpoints/provider_disagreement.py,1279,code,14321d976d873f75ad8394f66be5f1536b14d2cec1205100073313cb1e7ff52f,
repo_a,backend/app/api/v1/endpoints/revision.py,1142,code,277057de27eacea6db4e10afc7bb046aab632b1c95b15d7bed896b65f2d8e5c0,
repo_a,backend/app/api/v1/endpoints/spatial.py,2060,code,08a025e64348cbd2a8397c64a89c6940ddc706a6337a26fff15ef6df22b91790,
repo_a,backend/app/builder2/__init__.py,973,code,247c88bb170ba752fcfa4a8e5c4b94d500b311dcd618499d4e7eb0384082ec55,
repo_a,backend/app/builder2/calibrator.py,4584,code,d65424858a9a6045a44ad9054c37875aeaf6b40c3bb04e68997f5ad17418cbaf,
repo_a,backend/app/builder2/explainer.py,6964,code,61b8d92ed864473624e4192c1952a266a28ed6a60bc304b85c6d5834c643e1f2,
repo_a,backend/app/builder2/feature_adapter.py,9797,code,4e4efa84b028b219686b639de6ac38472497ca8e5e2cd016a2199dd757c8596e,
repo_a,backend/app/builder2/feature_pipeline.py,9386,code,cf111a2d20f602c7b6225bfe4920d7238f6d19661b8382e2a7ce1720696ab161,
repo_a,backend/app/builder2/instability_feature_pipeline.py,7906,code,09303fad5b0496bdd662ef814207300c6bf8ac7fa5f37f1379f7112566bcb9c0,
repo_a,backend/app/builder2/instability_fingerprint.py,11538,code,0bb36e2f61fee57328393954eb888d7ddb2694b1592b2daaf1ad99b7c40752f2,
repo_a,backend/app/builder2/label_engine.py,8460,code,b0dc30269f4ef674bc70f7035a0346e7eee9666aecba9b423e72197e27f89ba2,
