source_repo,source_path,destination_path,action,owner,phase_gate
repo_a,backend/app/core/time_contract.py,backend/app/core/time_contract.py,adapt,Safety Architect,Phase 4 (P4-G4)
repo_a,backend/app/core/certification_policy.py,backend/app/core/certification_policy.py,adapt,Safety Architect,Phase 4 (P4-G5)
repo_a,backend/app/core/ood_policy.py,backend/app/core/ood_policy.py,adapt,Safety Architect,Phase 4 (P4-G6)
repo_a,backend/app/builder2/v3_model_adapter.py (safe-fail patterns),backend/app/builder2/v3_model_adapter.py,adapt_graft,Model Lead,Phase 4 (P4-G4)
repo_a,backend/app/api/v1/endpoints/predict.py (safe-fail patterns),backend/app/api/v1/endpoints/predict.py,adapt_graft,API Lead,Phase 4 (P4-G4)
repo_a,revision_store.py,backend/app/data/revision_store.py,adapt,Data Architect,Phase 5 (P5-G7)
repo_a,backend/app/services/revision_service.py,backend/app/services/revision_service.py,adapt,Data Architect,Phase 5 (P5-G7)
repo_a,backend/tests/test_v3_time_contract.py,backend/tests/test_v3_time_contract.py,port,Test Lead,Phase 4 (P4-G4)
repo_a,test_day34_time_contract_revision_store.py,backend/tests/test_day34_time_contract_revision_store.py,port,Test Lead,Phase 5 (P5-G7)
repo_a,test_day35_independent_replay_release_manifest.py,backend/tests/test_day35_independent_replay_release_manifest.py,port,Test Lead,Phase 5 (P5-G7)
repo_a,test_day37_provider_adapters.py,backend/tests/test_day37_provider_adapters.py,port,Test Lead,Phase 6 (P6-G8)
repo_a,test_day38_cross_provider_disagreement.py,backend/tests/test_day38_cross_provider_disagreement.py,port,Test Lead,Phase 6 (P6-G8)
repo_a,test_scientific_certification.py,backend/tests/test_scientific_certification.py,port,Test Lead,Phase 4 (P4-G5)
